STATE,WEEK,SU_ID,perception,ECON1,ECON2,ECON1_worked,ECON2_hours
TX,1,0040008986,0.012,"(3) No, I did not work for pay last week.",,0.0,
TX,1,0040010885,0.012,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0020973012,0.125,"(3) No, I did not work for pay last week.",,0.0,
TX,1,0024104934,0.025,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0040003948,0.275,"(3) No, I did not work for pay last week.",,0.0,
TX,1,0027733677,0.012,"(3) No, I did not work for pay last week.",,0.0,
TX,1,0040001546,0.125,"(1) Yes, I worked for someone else for wages, salary, piece",40,1.0,40.0
TX,1,0027263506,0.237,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0025967478,0.275,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0029518447,0.25,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0029556728,0.125,"(1) Yes, I worked for someone else for wages, salary, piece",40,1.0,40.0
NY,1,0022747504,0.275,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0040008982,0.012,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0020001173,0.275,"(3) No, I did not work for pay last week.",,0.0,
TX,1,0040010715,0.032,"(1) Yes, I worked for someone else for wages, salary, piece",10,1.0,10.0
TX,1,0040009244,0.275,"(1) Yes, I worked for someone else for wages, salary, piece",40,1.0,40.0
TX,1,0027870753,0.125,"(3) No, I did not work for pay last week.",,0.0,
TX,1,0040010701,0.012,"(1) Yes, I worked for someone else for wages, salary, piece",40,1.0,40.0
NY,1,0040004404,0.125,"(1) Yes, I worked for someone else for wages, salary, piece",38,1.0,38.0
NY,1,0040010471,0.025,"(1) Yes, I worked for someone else for wages, salary, piece",46,1.0,46.0
NY,1,0027201352,0.25,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0028089055,0.015,"(3) No, I did not work for pay last week.",,0.0,
TX,1,0028778636,0.125,"(1) Yes, I worked for someone else for wages, salary, piece",30,1.0,30.0
NY,1,0040005727,0.275,"(1) Yes, I worked for someone else for wages, salary, piece",35,1.0,35.0
NY,1,0021579467,0.125,"(1) Yes, I worked for someone else for wages, salary, piece",40,1.0,40.0
NY,1,0022737592,0.025,"(1) Yes, I worked for someone else for wages, salary, piece",45,1.0,45.0
NY,1,0040002060,0.25,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0027511455,0.125,"(1) Yes, I worked for someone else for wages, salary, piece",40,1.0,40.0
NY,1,0040004377,0.125,"(3) No, I did not work for pay last week.",,0.0,
TX,1,0040010728,0.012,"(1) Yes, I worked for someone else for wages, salary, piece",40,1.0,40.0
TX,1,0020533912,0.012,"(3) No, I did not work for pay last week.",,0.0,
TX,1,0023313463,0.237,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0024035708,0.025,"(1) Yes, I worked for someone else for wages, salary, piece",40,1.0,40.0
TX,1,0023470406,0.023,"(1) Yes, I worked for someone else for wages, salary, piece",24,1.0,24.0
TX,1,0028102101,0.012,"(1) Yes, I worked for someone else for wages, salary, piece",40,1.0,40.0
TX,1,0021847728,0.012,"(1) Yes, I worked for someone else for wages, salary, piece",32,1.0,32.0
TX,1,0040005127,0.012,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0023814057,0.025,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0025236999,0.125,"(1) Yes, I worked for someone else for wages, salary, piece",50,1.0,50.0
NY,1,0027642314,0.275,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0021749865,0.125,"(1) Yes, I worked for someone else for wages, salary, piece",45,1.0,45.0
NY,1,0029628313,0.125,"(3) No, I did not work for pay last week.",,0.0,
TX,1,0027285069,0.125,"(3) No, I did not work for pay last week.",,0.0,
TX,1,0026086183,0.012,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0027963270,0.275,"(3) No, I did not work for pay last week.",,0.0,
TX,1,0024688017,0.012,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0040010510,0.025,"(1) Yes, I worked for someone else for wages, salary, piece",65,1.0,65.0
TX,1,0040008775,0.012,"(3) No, I did not work for pay last week.",,0.0,
TX,1,0025460809,0.012,"(1) Yes, I worked for someone else for wages, salary, piece",65,1.0,65.0
TX,1,0020327679,0.032,"(1) Yes, I worked for someone else for wages, salary, piece",40,1.0,40.0
TX,1,0040005533,0.025,"(1) Yes, I worked for someone else for wages, salary, piece",40,1.0,40.0
TX,1,0040010894,0.125,"(1) Yes, I worked for someone else for wages, salary, piece",52,1.0,52.0
TX,1,0022035321,0.012,"(1) Yes, I worked for someone else for wages, salary, piece",40,1.0,40.0
TX,1,0020137429,0.012,"(3) No, I did not work for pay last week.",,0.0,
TX,1,0027320638,0.125,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0024182398,0.725,"(3) No, I did not work for pay last week.",,0.0,
TX,1,0040007126,0.025,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0025601336,0.025,"(1) Yes, I worked for someone else for wages, salary, piece",40,1.0,40.0
TX,1,0040000675,0.275,"(3) No, I did not work for pay last week.",,0.0,
TX,1,0040002704,0.275,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0025693697,0.25,"(3) No, I did not work for pay last week.",,0.0,
TX,1,0023383882,0.012,"(1) Yes, I worked for someone else for wages, salary, piece",32,1.0,32.0
TX,1,0022245332,0.012,"(3) No, I did not work for pay last week.",,0.0,
TX,1,0028457522,0.012,"(1) Yes, I worked for someone else for wages, salary, piece",40,1.0,40.0
NY,1,0024679946,0.275,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0028036661,0.025,"(1) Yes, I worked for someone else for wages, salary, piece",40,1.0,40.0
NY,1,0023704936,0.012,"(1) Yes, I worked for someone else for wages, salary, piece",55,1.0,55.0
NY,1,0040001974,0.025,"(1) Yes, I worked for someone else for wages, salary, piece",50,1.0,50.0
TX,1,0021910890,0.217,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0021921915,0.125,"(1) Yes, I worked for someone else for wages, salary, piece",45,1.0,45.0
NY,1,0040006014,0.125,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0022256374,0.25,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0023156797,0.275,"(3) No, I did not work for pay last week.",,0.0,
TX,1,0022547391,0.032,"(3) No, I did not work for pay last week.",,0.0,
TX,1,0024367194,0.025,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0020634816,0.125,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0040011030,0.125,"(1) Yes, I worked for someone else for wages, salary, piece",40,1.0,40.0
TX,1,0029318031,0.012,"(3) No, I did not work for pay last week.",,0.0,
TX,1,0023033525,0.125,"(3) No, I did not work for pay last week.",,0.0,
TX,1,0040008837,0.015,"(1) Yes, I worked for someone else for wages, salary, piece",40,1.0,40.0
NY,1,0028739293,0.025,"(1) Yes, I worked for someone else for wages, salary, piece",42,1.0,42.0
NY,1,0040007653,0.875,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0028383261,0.025,"(1) Yes, I worked for someone else for wages, salary, piece",55,1.0,55.0
NY,1,0040008038,0.125,"(3) No, I did not work for pay last week.",,0.0,
TX,1,0020767332,0.002,"(3) No, I did not work for pay last week.",,0.0,
TX,1,0040006403,0.125,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0028061704,0.275,"(3) No, I did not work for pay last week.",,0.0,
TX,1,0040006371,0.012,"(1) Yes, I worked for someone else for wages, salary, piece",60,1.0,60.0
TX,1,0022786010,0.023,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0027452794,0.275,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0022423176,0.275,"(3) No, I did not work for pay last week.",,0.0,
TX,1,0021682652,0.025,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0040010501,0.275,"(1) Yes, I worked for someone else for wages, salary, piece",12,1.0,12.0
TX,1,0040001783,0.023,"(1) Yes, I worked for someone else for wages, salary, piece",19,1.0,19.0
TX,1,0021305086,0.002,"(3) No, I did not work for pay last week.",,0.0,
TX,1,0026489526,0.125,"(3) No, I did not work for pay last week.",,0.0,
TX,1,0040008994,0.012,"(1) Yes, I worked for someone else for wages, salary, piece",25,1.0,25.0
TX,1,0040006007,0.012,"(3) No, I did not work for pay last week.",,0.0,
TX,1,0023385955,0.012,"(1) Yes, I worked for someone else for wages, salary, piece",40,1.0,40.0
NY,1,0020678566,0.025,"(3) No, I did not work for pay last week.",,0.0,
TX,1,0026168275,0.012,"(1) Yes, I worked for someone else for wages, salary, piece",40,1.0,40.0
TX,1,0040009478,0.012,"(1) Yes, I worked for someone else for wages, salary, piece",50,1.0,50.0
NY,1,0023482134,0.025,"(1) Yes, I worked for someone else for wages, salary, piece",35,1.0,35.0
NY,1,0028935677,0.125,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0028390431,0.275,"(3) No, I did not work for pay last week.",,0.0,
TX,1,0040008028,0.012,"(1) Yes, I worked for someone else for wages, salary, piece",40,1.0,40.0
TX,1,0040007496,0.025,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0028748508,0.025,"(3) No, I did not work for pay last week.",,0.0,
TX,1,0040010868,0.012,"(1) Yes, I worked for someone else for wages, salary, piece",20,1.0,20.0
NY,1,0029564830,0.125,"(1) Yes, I worked for someone else for wages, salary, piece",40,1.0,40.0
TX,1,0022813028,0.275,"(3) No, I did not work for pay last week.",,0.0,
TX,1,0029284838,0.125,"(3) No, I did not work for pay last week.",,0.0,
TX,1,0028808453,0.023,"(3) No, I did not work for pay last week.",,0.0,
TX,1,0040010459,0.025,"(1) Yes, I worked for someone else for wages, salary, piece",40,1.0,40.0
TX,1,0024755926,0.012,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0023318709,0.275,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0026297396,0.012,"(1) Yes, I worked for someone else for wages, salary, piece",40,1.0,40.0
NY,1,0040006639,0.275,"(1) Yes, I worked for someone else for wages, salary, piece",45,1.0,45.0
TX,1,0022073613,0.012,"(3) No, I did not work for pay last week.",,0.0,
TX,1,0020651641,0.012,"(1) Yes, I worked for someone else for wages, salary, piece",40,1.0,40.0
TX,1,0020320273,0.012,"(3) No, I did not work for pay last week.",,0.0,
TX,1,0040002101,0.012,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0040010661,0.012,"(1) Yes, I worked for someone else for wages, salary, piece",48,1.0,48.0
NY,1,0024060281,0.125,"(1) Yes, I worked for someone else for wages, salary, piece",35,1.0,35.0
TX,1,0020995742,0.725,"(3) No, I did not work for pay last week.",,0.0,
TX,1,0040010713,0.012,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0028378774,0.025,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0027938461,0.025,"(1) Yes, I worked for someone else for wages, salary, piece",30,1.0,30.0
TX,1,0024757274,0.015,"(1) Yes, I worked for someone else for wages, salary, piece",55,1.0,55.0
TX,1,0029867034,0.125,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0023819170,0.012,"(1) Yes, I worked for someone else for wages, salary, piece",40,1.0,40.0
NY,1,0026172770,0.275,"(3) No, I did not work for pay last week.",,0.0,
TX,1,0021255077,0.012,"(1) Yes, I worked for someone else for wages, salary, piece",40,1.0,40.0
NY,1,0023858111,0.125,"(1) Yes, I worked for someone else for wages, salary, piece",40,1.0,40.0
TX,1,0026511393,0.025,"(1) Yes, I worked for someone else for wages, salary, piece",45,1.0,45.0
NY,1,0020845362,0.275,"(3) No, I did not work for pay last week.",,0.0,
TX,1,0020129761,0.125,"(3) No, I did not work for pay last week.",,0.0,
TX,1,0029504669,0.012,"(1) Yes, I worked for someone else for wages, salary, piece",40,1.0,40.0
NY,1,0026193565,0.025,"(1) Yes, I worked for someone else for wages, salary, piece",40,1.0,40.0
TX,1,0026612839,0.012,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0040005084,0.025,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0040010489,0.275,"(3) No, I did not work for pay last week.",,0.0,
TX,1,0029189590,0.025,"(1) Yes, I worked for someone else for wages, salary, piece",40,1.0,40.0
NY,1,0040000467,0.125,"(1) Yes, I worked for someone else for wages, salary, piece",24,1.0,24.0
NY,1,0028698112,0.325,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0040007452,0.025,"(1) Yes, I worked for someone else for wages, salary, piece",40,1.0,40.0
TX,1,0025232043,0.013,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0020314516,0.125,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0028353057,0.25,"(3) No, I did not work for pay last week.",,0.0,
TX,1,0040005900,0.013,"(1) Yes, I worked for someone else for wages, salary, piece",40,1.0,40.0
NY,1,0024230786,0.125,"(1) Yes, I worked for someone else for wages, salary, piece",50,1.0,50.0
NY,1,0026345548,0.025,"(1) Yes, I worked for someone else for wages, salary, piece",40,1.0,40.0
TX,1,0021211219,0.025,"(1) Yes, I worked for someone else for wages, salary, piece",60,1.0,60.0
TX,1,0028338419,0.012,"(1) Yes, I worked for someone else for wages, salary, piece",37,1.0,37.0
NY,1,0022391205,0.25,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0022212118,0.012,"(1) Yes, I worked for someone else for wages, salary, piece",40,1.0,40.0
NY,1,0025150446,0.002,"(3) No, I did not work for pay last week.",,0.0,
TX,1,0040011034,0.012,"(1) Yes, I worked for someone else for wages, salary, piece",40,1.0,40.0
NY,1,0028599698,0.25,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0040007917,0.125,"(1) Yes, I worked for someone else for wages, salary, piece",40,1.0,40.0
NY,1,0020173125,0.275,"(3) No, I did not work for pay last week.",,0.0,
TX,1,0023188548,0.012,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0020813093,0.275,"(3) No, I did not work for pay last week.",,0.0,
TX,1,0040006077,0.237,"(1) Yes, I worked for someone else for wages, salary, piece",0,1.0,0.0
NY,1,0021820703,0.125,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0026109548,0.725,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0024189531,0.237,"(3) No, I did not work for pay last week.",,0.0,
TX,1,0021965113,0.012,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0028529128,0.725,"(3) No, I did not work for pay last week.",,0.0,
TX,1,0027933971,0.012,"(3) No, I did not work for pay last week.",,0.0,
TX,1,0027436258,0.012,"(1) Yes, I worked for someone else for wages, salary, piece",40,1.0,40.0
TX,1,0040005595,0.012,"(1) Yes, I worked for someone else for wages, salary, piece",40,1.0,40.0
NY,1,0023237940,0.125,"(3) No, I did not work for pay last week.",,0.0,
TX,1,0023184856,0.032,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0025878276,0.125,"(1) Yes, I worked for someone else for wages, salary, piece",45,1.0,45.0
NY,1,0029869904,0.275,"(3) No, I did not work for pay last week.",,0.0,
TX,1,0040007802,0.025,"(1) Yes, I worked for someone else for wages, salary, piece",40,1.0,40.0
NY,1,0020866682,0.275,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0026950082,0.25,"(3) No, I did not work for pay last week.",,0.0,
TX,1,0040011090,0.025,"(1) Yes, I worked for someone else for wages, salary, piece",15,1.0,15.0
NY,1,0027251115,0.25,"(3) No, I did not work for pay last week.",,0.0,
TX,1,0021521079,0.012,"(2) Yes, I worked as self-employed in my own business, profe",,1.0,
TX,1,0028284395,0.032,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0025604439,0.125,"(1) Yes, I worked for someone else for wages, salary, piece",35,1.0,35.0
TX,1,0027077346,0.025,"(3) No, I did not work for pay last week.",,0.0,
TX,1,0040005146,0.012,"(1) Yes, I worked for someone else for wages, salary, piece",40,1.0,40.0
NY,1,0024139184,0.125,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0028787069,0.125,"(3) No, I did not work for pay last week.",,0.0,
TX,1,0024760680,0.012,"(1) Yes, I worked for someone else for wages, salary, piece",40,1.0,40.0
NY,1,0025459590,0.012,"(1) Yes, I worked for someone else for wages, salary, piece",40,1.0,40.0
TX,1,0040002371,0.012,"(1) Yes, I worked for someone else for wages, salary, piece",40,1.0,40.0
NY,1,0025308584,0.275,"(3) No, I did not work for pay last week.",,0.0,
TX,1,0040005393,0.025,"(1) Yes, I worked for someone else for wages, salary, piece",50,1.0,50.0
NY,1,0040003337,0.275,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0026179118,0.275,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0023568401,0.125,"(1) Yes, I worked for someone else for wages, salary, piece",40,1.0,40.0
NY,1,0023689135,0.025,"(3) No, I did not work for pay last week.",,0.0,
TX,1,0026025270,0.025,"(3) No, I did not work for pay last week.",,0.0,
TX,1,0040006658,0.012,"(3) No, I did not work for pay last week.",,0.0,
TX,1,0027180297,0.012,"(3) No, I did not work for pay last week.",,0.0,
TX,1,0040001651,0.125,"(1) Yes, I worked for someone else for wages, salary, piece",40,1.0,40.0
TX,1,0040002199,0.012,"(1) Yes, I worked for someone else for wages, salary, piece",30,1.0,30.0
NY,1,0026723500,0.25,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0026272235,0.275,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0027055533,0.025,"(1) Yes, I worked for someone else for wages, salary, piece",55,1.0,55.0
TX,1,0021921383,0.012,"(3) No, I did not work for pay last week.",,0.0,
TX,1,0028043115,0.023,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0028955443,0.125,"(1) Yes, I worked for someone else for wages, salary, piece",40,1.0,40.0
NY,1,0022467037,0.125,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0023062091,0.012,"(1) Yes, I worked for someone else for wages, salary, piece",40,1.0,40.0
NY,1,0040000549,0.125,"(1) Yes, I worked for someone else for wages, salary, piece",29,1.0,29.0
NY,1,0027729258,0.2,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0020402954,0.275,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0027891535,0.125,"(3) No, I did not work for pay last week.",,0.0,
TX,1,0025198869,0.012,"(1) Yes, I worked for someone else for wages, salary, piece",40,1.0,40.0
TX,1,0029368175,0.013,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0025259641,0.75,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0029371224,0.025,"(1) Yes, I worked for someone else for wages, salary, piece",35,1.0,35.0
NY,1,0024972671,0.002,"(3) No, I did not work for pay last week.",,0.0,
TX,1,0025469871,0.125,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0029960504,0.275,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0021490474,0.125,"(1) Yes, I worked for someone else for wages, salary, piece",40,1.0,40.0
TX,1,0040002560,0.012,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0021245762,0.275,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0029800219,0.025,"(3) No, I did not work for pay last week.",,0.0,
TX,1,0026795661,0.025,"(3) No, I did not work for pay last week.",,0.0,
TX,1,0023401672,0.012,"(1) Yes, I worked for someone else for wages, salary, piece",40,1.0,40.0
TX,1,0040007381,0.275,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0040001443,0.125,"(1) Yes, I worked for someone else for wages, salary, piece",40,1.0,40.0
NY,1,0040009553,0.275,"(1) Yes, I worked for someone else for wages, salary, piece",40,1.0,40.0
NY,1,0027874236,0.025,"(1) Yes, I worked for someone else for wages, salary, piece",50,1.0,50.0
NY,1,0040008103,0.725,"(3) No, I did not work for pay last week.",,0.0,
TX,1,0040010399,0.275,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0026748599,0.25,"(3) No, I did not work for pay last week.",,0.0,
TX,1,0040007197,0.125,"(3) No, I did not work for pay last week.",,0.0,
TX,1,0040009031,0.012,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0040001084,0.25,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0023166395,0.275,"(3) No, I did not work for pay last week.",,0.0,
TX,1,0027014635,0.237,"(1) Yes, I worked for someone else for wages, salary, piece",42,1.0,42.0
TX,1,0020966687,0.123,"(3) No, I did not work for pay last week.",,0.0,
TX,1,0040007550,0.012,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0026416071,0.032,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0025839605,0.025,"(1) Yes, I worked for someone else for wages, salary, piece",40,1.0,40.0
NY,1,0023323467,0.25,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0040004328,0.125,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0022854467,0.025,"(1) Yes, I worked for someone else for wages, salary, piece",40,1.0,40.0
TX,1,0029285149,0.125,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0023614954,0.237,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0028262947,0.125,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0025187757,0.125,"(1) Yes, I worked for someone else for wages, salary, piece",35,1.0,35.0
NY,1,0020166411,0.015,"(1) Yes, I worked for someone else for wages, salary, piece",50,1.0,50.0
NY,1,0025102775,0.125,"(3) No, I did not work for pay last week.",,0.0,
TX,1,0040010777,0.012,"(1) Yes, I worked for someone else for wages, salary, piece",40,1.0,40.0
TX,1,0040007960,0.012,"(1) Yes, I worked for someone else for wages, salary, piece",45,1.0,45.0
NY,1,0020193467,0.025,"(3) No, I did not work for pay last week.",,0.0,
TX,1,0040008448,0.012,"(1) Yes, I worked for someone else for wages, salary, piece",60,1.0,60.0
TX,1,0024410478,0.012,"(3) No, I did not work for pay last week.",,0.0,
TX,1,0022558605,0.012,"(3) No, I did not work for pay last week.",,0.0,
TX,1,0023623132,0.013,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0025969345,0.123,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0024397548,0.25,"(3) No, I did not work for pay last week.",,0.0,
TX,1,0040009187,0.012,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0029343097,0.125,"(3) No, I did not work for pay last week.",,0.0,
TX,1,0020355918,0.027,"(3) No, I did not work for pay last week.",,0.0,
TX,1,0040002011,0.012,"(1) Yes, I worked for someone else for wages, salary, piece",50,1.0,50.0
TX,1,0040004845,0.012,"(3) No, I did not work for pay last week.",,0.0,
TX,1,0024359182,0.012,"(1) Yes, I worked for someone else for wages, salary, piece",40,1.0,40.0
NY,1,0040007796,0.25,"(1) Yes, I worked for someone else for wages, salary, piece",40,1.0,40.0
TX,1,0040003125,0.025,"(1) Yes, I worked for someone else for wages, salary, piece",40,1.0,40.0
NY,1,0024195898,0.275,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0028595766,0.125,"(3) No, I did not work for pay last week.",,0.0,
TX,1,0028812133,0.012,"(1) Yes, I worked for someone else for wages, salary, piece",60,1.0,60.0
NY,1,0020663118,0.025,"(1) Yes, I worked for someone else for wages, salary, piece",40,1.0,40.0
TX,1,0040002217,0.012,"(1) Yes, I worked for someone else for wages, salary, piece",40,1.0,40.0
TX,1,0027026047,0.012,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0029950198,0.025,"(1) Yes, I worked for someone else for wages, salary, piece",40,1.0,40.0
NY,1,0026535295,0.275,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0023108515,0.125,"(1) Yes, I worked for someone else for wages, salary, piece",50,1.0,50.0
NY,1,0029098149,0.025,"(1) Yes, I worked for someone else for wages, salary, piece",35,1.0,35.0
NY,1,0028773930,0.025,"(1) Yes, I worked for someone else for wages, salary, piece",40,1.0,40.0
NY,1,0021897232,0.125,"(1) Yes, I worked for someone else for wages, salary, piece",40,1.0,40.0
NY,1,0040008648,0.275,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0040006088,0.25,"(3) No, I did not work for pay last week.",,0.0,
NY,1,0025570306,0.025,"(1) Yes, I worked for someone else for wages, salary, piece",40,1.0,40.0
NY,1,0029932682,0.025,"(1) Yes, I worked for someone else for wages, salary, piece",40,1.0,40.0
NY,1,0022911329,0.275,"(1) Yes, I worked for someone else for wages, salary, piece",55,1.0,55.0
TX,1,0023228492,0.012,"(3) No, I did not work for pay last week.",,0.0,
